0.02,0.01,0.01,0.01,0.02,1
0.16,0.17,0.17,0.17,0.16,1
0.25,0.25,0.24,0.24,0.24,1
0,0,0,0.01,0.01,1
0.12,0.13,0.13,0.13,0.13,1
0.23,0.23,0.23,0.23,0.23,1
0.03,0.02,0.02,0.01,0.01,1
0.06,0.11,0.13,0.13,0.13,1
0.15,0.21,0.22,0.22,0.22,1
0.01,0.01,0.01,0,0,1
0.12,0.14,0.14,0.14,0.14,1
0.15,0.19,0.2,0.22,0.22,1
0.02,0.02,0.02,0.02,0.02,1
0.11,0.13,0.14,0.14,0.14,1
0.21,0.22,0.22,0.22,0.22,1
0.03,0.02,0.02,0.02,0.02,1
0.05,0.11,0.13,0.14,0.14,1
0.14,0.21,0.22,0.23,0.23,1
0.02,0.02,0.02,0.02,0.02,1
0.14,0.15,0.15,0.15,0.14,1
0.25,0.25,0.25,0.25,0.25,1
0.01,0.02,0.02,0.02,0.02,1
0.16,0.16,0.16,0.16,0.16,1
0.26,0.26,0.26,0.26,0.26,1
0.01,0.01,0.01,0.01,0.01,1
0.15,0.17,0.17,0.17,0.17,1
0.24,0.25,0.25,0.25,0.25,1
0,0,0,0,0,1
0.12,0.16,0.17,0.17,0.17,1
0.23,0.25,0.25,0.26,0.25,1
0.02,0.02,0.02,0.02,0.02,1
0.07,0.07,0.07,0.07,0.07,1
0.21,0.21,0.2,0.2,0.21,1
0.02,0.02,0.02,0.02,0.02,1
0.15,0.16,0.16,0.16,0.16,1
0.25,0.25,0.25,0.25,0.25,1
0,0,0,0.01,0.01,0
0,0,0,0,0,0
0,0,0.01,0,0,0
0,0.01,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.01,0.01,0.01,0.01,0.01,0
0,0,0,0,0,0
0.01,0,0,0,0,0
0.01,0.01,0.01,0.01,0.01,0
0.01,0.01,0.01,0,0,0
0.01,0.01,0,0,0,0
0.01,0.01,0.01,0.01,0.01,0
0,0.01,0,0.01,0.01,0
0.01,0.01,0,0,0,0
0.01,0.01,0.01,0.01,0.01,0
0,0.01,0.01,0.01,0.01,0
0,0,0,0,0,0
0.15,0.15,0.15,0.15,0.15,2
0.13,0.13,0.13,0.13,0.13,2
0.08,0.08,0.07,0.07,0.07,2
0.12,0.12,0.12,0.12,0.12,2
0.11,0.11,0.11,0.11,0.11,2
0.07,0.07,0.07,0.07,0.07,2
0.18,0.18,0.18,0.18,0.18,2
0.14,0.14,0.14,0.14,0.14,2
0.08,0.08,0.08,0.08,0.08,2
0.12,0.12,0.12,0.12,0.12,2
0.11,0.12,0.11,0.12,0.12,2
0.09,0.08,0.08,0.09,0.09,2
0.11,0.11,0.11,0.12,0.12,2
0.11,0.11,0.11,0.11,0.11,2
0.09,0.08,0.09,0.09,0.09,2
0.12,0.12,0.12,0.12,0.12,2
0.11,0.11,0.11,0.11,0.11,2
0.08,0.09,0.09,0.09,0.09,2
0.12,0.12,0.12,0.12,0.12,2
0.11,0.11,0.11,0.11,0.11,2
0.08,0.08,0.08,0.08,0.08,2
0.12,0.12,0.12,0.12,0.12,2
0.11,0.11,0.11,0.11,0.11,2
0.08,0.08,0.08,0.08,0.08,2
0.12,0.12,0.12,0.12,0.12,2
0.11,0.11,0.11,0.11,0.11,2
0.09,0.09,0.08,0.09,0.08,2
0.09,0.08,0.08,0.08,0.08,3
0.02,0.02,0.02,0.01,0.02,3
0.18,0.18,0.18,0.18,0.18,3
0.09,0.09,0.09,0.09,0.09,3
0.01,0,0.01,0.01,0.01,3
0.16,0.15,0.15,0.16,0.16,4
0.07,0.07,0.07,0.07,0.07,4
0.02,0.02,0.02,0.02,0.02,4
0.17,0.17,0.17,0.16,0.17,4
0.07,0.07,0.07,0.07,0.07,4
0.02,0.02,0.02,0.01,0.01,4
0.17,0.16,0.16,0.16,0.16,4
0.04,0.04,0.04,0.03,0.03,4
0.02,0.01,0.01,0.01,0.01,4
0.16,0.17,0.17,0.16,0.16,4
0.07,0.07,0.07,0.07,0.07,4
0.01,0.01,0.01,0.01,0.01,4
0.16,0.15,0.15,0.15,0.15,4
0.12,0.12,0.12,0.11,0.11,4
0.02,0.02,0.02,0.02,0.02,4
0.23,0.23,0.22,0.22,0.22,4
0.09,0.09,0.09,0.09,0.09,4
0.02,0.02,0.02,0.02,0.02,4
0.18,0.17,0.17,0.17,0.18,4
0.08,0.09,0.08,0.09,0.08,4
0.02,0.02,0.02,0.02,0.02,4
0.17,0.17,0.16,0.17,0.16,4
